Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Material,Puntuacion_curso,Edad,Decision,Gusto_g,Interes_profesional_g,Autoeficacia_g,Utilidad_g
PROGRAMACION WEB,1,1704015,0,3,10,10,3,10,12,1,0,0.5,0.5,0
BIOINGENIERIA,1,1704572,1,2,9,10,3,10,16,2,0.166666667,-0.333333333,0,0.4
BIOINGENIERIA,1,1704950,0,3,10,10,3,10,14,1,0.833333333,1,0.5,-0.4
EMPRENDE ICADE,1,1705326,1,2,10,10,2,7,15,0,-0.166666667,0,0,-0.6
BIOINGENIERIA,1,1706015,0,3,9,10,3,10,16,2,0.833333333,0.166666667,0.5,0.6
EDICION DE FOTO Y VIDEO,1,1708698,0,3,8,10,2,8,13,0,-0.5,-0.333333333,0.5,0.2
DISEÑO 3D,0,1709000,0,2,9,7,3,9,12,2,0,0.166666667,-0.5,-0.6
VIDEOJUEGOS 2D,1,1711000,0,2,9,7,2,7,10,0,-0.166666667,0.5,-0.5,0.6
AUTOMATIZACION,1,1711134,1,3,10,10,3,10,12,2,0,0,0.25,0.4
INGENIERIA MECANICA,0,1712000,0,2,10,10,3,9,10,2,-1.166666667,-1.166666667,1.25,-0.2
INGENIERIA MECANICA,0,1712000,0,2,10,10,3,8,10,2,0.166666667,-0.666666667,0.25,0.4
CIBERSEGURIDAD,1,1712155,0,2,8,8,2,8,14,2,-0.166666667,0,-0.5,0.6
VIDEOJUEGOS 2D,0,1801000,1,2,9,8,3,9,13,2,0.666666667,0.166666667,0.75,0.2
EMPRENDE ICADE,1,1801010,0,2,10,10,3,10,16,2,0.833333333,1,0.5,0.2
INTELIGENCIA ARTIFICIAL,1,1801821,1,3,10,10,3,10,16,1,0,0.166666667,0.25,0
DRONES,1,1802670,0,3,9,8,3,10,15,2,0,-0.166666667,0.5,0.2
DISEÑO 3D,0,1805000,0,2,10,10,3,10,10,1,-0.166666667,-0.333333333,-0.25,0.2
ENERGIAS RENOVABLES,0,1806000,0,2,9,7,2,9,12,2,0.666666667,0.333333333,-0.25,0.2
INTELIGENCIA ARTIFICIAL,1,1806485,0,3,8,8,3,8,17,0,0.333333333,0.166666667,-0.25,0.2
AUTOMATIZACION,1,1808307,0,3,10,10,3,9,13,1,0.166666667,-0.5,0.25,0
DISEÑO 3D,0,1809000,1,3,10,10,3,10,11,0,0,0,0,0
DRONES,1,1809761,0,2,9,9,3,9,14,1,-0.333333333,0.166666667,0.25,0.2
MINECRAFT,0,1810000,0,3,10,10,3,10,10,0,0,0,0.25,0
BIOINGENIERIA,0,1812000,1,3,10,10,2,9,11,2,-0.166666667,0.166666667,0,0.8
BIOINGENIERIA,1,1812143,1,3,10,10,3,10,14,2,0,0,-0.25,0.4
INGENIERIA MECANICA,1,1904467,0,2,10,10,3,10,17,2,0.166666667,0.333333333,0.5,0.8
ROBOTICA,0,1905000,0,3,10,10,2,10,10,0,-0.166666667,0.166666667,0.25,0.2
CIBERSEGURIDAD,1,1908773,0,2,10,10,2,9,16,0,1.333333333,1.333333333,-0.25,0.4
MINECRAFT,0,1909000,0,2,8,9,3,10,11,2,1.166666667,1.5,-0.25,-0.4
MINECRAFT,0,1909000,0,1,10,10,3,10,11,2,-0.333333333,-0.833333333,1.25,0
INGENIERIA ELECTRONICA,1,1909923,0,1,10,10,3,10,15,0,-0.166666667,0,0.25,0.2
VIDEOJUEGOS 2D,0,1911000,1,2,10,1,3,10,12,0,1.166666667,1.833333333,0,0.4
EDICION DE FOTO Y VIDEO,1,1912000,1,3,10,9,3,10,13,0,-0.333333333,0.5,0.25,0
INGENIERIA MECANICA,1,2004265,0,2,9,9,2,8,15,2,-0.333333333,0.166666667,0,-0.6
DISEÑO 3D,0,2005000,0,2,10,10,3,10,11,2,-0.166666667,0.333333333,0.25,0.2
INGENIERIA MECANICA,1,2007890,0,3,10,10,2,8,14,0,-0.333333333,-0.833333333,0.75,0
VIDEOJUEGOS 2D,0,2010000,0,3,10,9,2,9,11,0,0.333333333,1,1.25,-0.2
VIDEOJUEGOS 3D,1,2101024,1,3,9,5,3,10,15,2,-0.666666667,0,0.25,0.2
INGENIERIA MECANICA,1,2101115,0,3,10,10,3,10,16,2,0.666666667,0.666666667,0.25,0.4
PROGRAMACION WEB,1,2101370,0,3,10,10,3,10,17,2,0.166666667,0,0.75,-0.2
INGENIERIA MECANICA,1,2101540,0,2,10,10,3,10,16,2,0.166666667,0.5,0.25,-0.2
INGENIERIA MECANICA,1,2101894,0,3,10,10,2,10,16,2,0.166666667,-0.5,0.75,-1
DISEÑO 3D,0,2103000,1,3,10,10,3,10,11,1,0.333333333,1.833333333,1.25,0.6
CIBERSEGURIDAD,1,2105971,0,2,10,10,3,10,14,1,0.166666667,1,0,-0.2
BIOINGENIERIA,0,2107000,0,2,9,7,2,8,13,2,0,0.333333333,0,0
BIOINGENIERIA,1,2108376,0,2,9,10,2,9,13,2,0.166666667,0,0,0.2
CIENCIA EN LA COCINA,0,2110000,1,2,10,10,3,9,9,0,-0.166666667,0.666666667,0,-0.4
DISEÑO 3D,1,2202269,0,3,10,10,3,10,14,0,0,0,-1,0.6
EDICION DE FOTO Y VIDEO,0,2203000,1,3,10,8,3,10,13,1,-0.166666667,-0.333333333,0.25,-0.2
INGENIERIA MECANICA,1,2203352,0,2,9,9,2,9,17,2,0.166666667,0.166666667,-0.25,0
ENERGIAS RENOVABLES,0,2204000,0,2,10,10,3,10,9,0,-0.5,-0.666666667,0.25,0.2
BIOINGENIERIA,1,2205000,1,3,10,10,3,10,14,2,0,0.166666667,0.5,0.2
ENERGIAS RENOVABLES,0,2206000,0,2,10,10,2,9,11,2,-0.333333333,0.333333333,-1,0
DISEÑO 3D,1,2206668,0,3,8,8,3,8,16,2,-0.166666667,-0.666666667,0.5,-0.6
DRONES,1,2207915,0,2,9,9,3,10,13,0,0.333333333,0.5,-0.25,0
DISEÑO 3D,0,2209000,0,2,10,10,3,10,11,1,0.333333333,0.5,0.5,0
BIOINGENIERIA,1,2210491,1,3,7,10,3,8,16,0,0.833333333,0.5,0.25,0.2
DRONES,1,2211745,0,2,9,9,3,10,15,1,0.166666667,0,0.25,0.4
CIENCIA EN LA COCINA,0,2301000,1,2,10,10,3,10,10,0,0.166666667,0,0,0.6
EDICION DE FOTO Y VIDEO,1,2303809,0,2,8,1,3,9,13,2,-0.833333333,0.333333333,0,0
INGENIERIA MECANICA,1,2308128,0,2,10,10,3,10,13,2,0.166666667,0.166666667,-0.5,-0.2
INGENIERIA ELECTRONICA,1,2309302,1,2,10,10,3,10,16,2,0.333333333,0.5,1.25,0.2
BIOINGENIERIA,1,2310590,1,2,7,10,3,8,14,2,0.166666667,0.5,-0.25,0
PROGRAMACION WEB,1,2311467,0,3,10,10,3,10,13,1,0.166666667,0.166666667,-0.75,-1.2
BIOINGENIERIA,1,2312599,1,2,8,10,3,8,16,0,0.833333333,0,1,0.6
INGENIERIA MECANICA,0,2403000,0,2,9,9,1,9,12,0,1,0.666666667,0.25,0
INGENIERIA MECANICA,0,2403000,0,1,1,10,3,5,12,0,-1,0,-0.25,-0.2
DRONES,1,2403282,0,3,10,10,3,10,14,1,-0.166666667,1,0.75,-0.4
INTELIGENCIA ARTIFICIAL,1,2403768,0,2,10,10,3,10,15,1,0.166666667,0.166666667,0.75,0.2
CIBERSEGURIDAD,1,2404298,0,3,10,10,3,10,15,2,0,0,0,0.4
EMPRENDE ICADE,1,2404467,0,3,10,10,3,10,14,1,0.166666667,0,-0.25,0.6
EMPRENDE ICADE,1,2404467,0,3,10,10,3,10,14,1,0.166666667,-0.666666667,-0.5,0.6
INGENIERIA MECANICA,1,2405155,0,3,10,10,3,10,16,2,0.166666667,0.333333333,-0.5,0.6
INTELIGENCIA ARTIFICIAL,1,2405749,0,3,8,6,2,6,16,1,0.166666667,-1.333333333,0,0
CIBERSEGURIDAD,1,2406134,0,2,10,10,2,10,17,2,0.166666667,0.333333333,-0.25,-0.4
CIBERSEGURIDAD,1,2408656,1,3,10,10,2,10,16,1,0.333333333,0.333333333,0,0
AUTOMATIZACION,1,2409000,0,2,10,1,2,10,12,2,0.5,-0.333333333,0,-0.2
BIOINGENIERIA,1,2409336,0,2,9,10,3,9,14,1,0,-0.166666667,0,0.2
INGENIERIA MECANICA,1,2410178,0,2,10,10,3,10,17,1,0.833333333,-0.5,-0.75,0.2
CIENCIA EN LA COCINA,0,2501000,1,2,10,10,2,10,10,0,1.5,-0.5,0.75,2
DISEÑO 3D,0,2501987,0,3,10,10,3,10,13,2,0.333333333,0.833333333,-0.25,0.2
DISEÑO 3D,1,2502000,1,3,10,9,3,9,14,2,0,0,-0.25,0.6
CIBERSEGURIDAD,1,2502741,0,3,9,10,2,9,17,2,0,-0.333333333,-0.75,-0.2
EMPRENDE ICADE,1,2504867,1,2,10,10,3,10,14,2,-0.5,-0.5,-0.5,0.2
BIOINGENIERIA,0,2505000,1,3,10,10,3,10,12,2,-0.166666667,0,-0.5,0
BIOINGENIERIA,1,2505253,0,3,9,10,3,9,15,2,-0.5,0,-0.5,0
MINECRAFT,0,2507000,0,3,9,9,3,10,10,2,0,-0.666666667,0,0.2
INGENIERIA MECANICA,1,2512371,0,1,8,9,3,9,13,2,-0.833333333,0.166666667,-0.75,0
EDICION DE FOTO Y VIDEO,0,2602000,1,2,8,9,3,8,12,1,0.333333333,-0.333333333,0,-0.2
BIOINGENIERIA,0,2604000,1,3,10,10,3,10,10,2,0,0.833333333,0.25,0
BIOINGENIERIA,1,2605000,1,2,10,10,3,10,14,2,0.5,-0.166666667,0.25,0.6
BIOINGENIERIA,1,2605041,1,3,10,10,3,10,15,1,0,-0.333333333,0.5,0.6
BIOINGENIERIA,1,2606000,0,2,9,10,3,10,14,2,0,0,-0.25,0
INTELIGENCIA ARTIFICIAL,1,2609000,0,2,8,7,2,7,13,0,0.166666667,0.166666667,-0.25,0
DRONES,1,2609256,0,1,9,9,3,8,14,1,0.666666667,0.333333333,0.25,-0.2
MINECRAFT,0,2611160,0,3,10,10,3,10,12,2,0.166666667,-0.166666667,-1,0
INGENIERIA MECANICA,1,2612649,0,2,9,9,3,10,15,2,0.333333333,1,0,0.4
VIDEOJUEGOS 3D,1,2703000,0,2,10,5,3,10,13,2,-0.333333333,0,0.25,0.2
DISEÑO 3D,0,2703772,1,2,9,9,2,9,12,0,-0.166666667,0.333333333,-0.5,0.2
AUTOMATIZACION,1,2705000,0,3,10,10,3,10,14,2,0,0.166666667,0.75,-0.2
BIOINGENIERIA,0,2707000,1,2,10,10,2,10,9,0,0.666666667,0.333333333,0.25,0.2
