Codigo,Edad,Nivel,Genero,Gusto,Interes_profesional,Autoeficacia,Utilidad,Grupo_Edad,label
912000.0,12,JUNIOR,Chico,4.5,3.333333333333333,4.0,5.0,Younger student,2
1102000.0,10,JUNIOR,Chico,2.0,2.6666666666666665,3.25,2.6,Younger student,1
1104250.0,13,JUNIOR,Chico,4.5,4.166666666666667,4.5,3.8,Older student,0
1107000.1,10,JUNIOR,Chico,4.666666666666667,3.6666666666666665,2.0,4.0,Younger student,2
1112000.2,12,JUNIOR,Chico,4.0,3.5,4.25,4.0,Younger student,2
1506349.0,13,JUNIOR,Chico,2.6666666666666665,2.6666666666666665,2.25,5.0,Older student,1
1711000.0,10,JUNIOR,Chico,4.666666666666667,4.5,3.0,3.6,Younger student,0
1801000.0,13,JUNIOR,Chica,4.333333333333333,3.8333333333333335,3.5,4.2,Older student,2
1805000.0,10,JUNIOR,Chico,3.1666666666666665,3.1666666666666665,3.5,3.6,Younger student,1
2005000.0,11,JUNIOR,Chico,3.8333333333333335,3.5,3.5,4.0,Younger student,2
2010000.0,11,JUNIOR,Chico,2.5,1.6666666666666667,1.75,3.4,Younger student,1
802836.0,15,SENIOR,Chica,4.666666666666667,4.833333333333333,3.5,4.6,Older student,0
809000.0,14,SENIOR,Chica,5.0,5.0,5.0,4.6,Older student,0
1211000.0,15,SENIOR,Chico,4.166666666666667,4.666666666666667,3.75,4.6,Older student,0
1307385.0,14,SENIOR,Chico,3.5,3.6666666666666665,3.5,3.4,Older student,2
2101024.0,15,SENIOR,Chica,4.833333333333333,4.166666666666667,4.25,4.2,Older student,0
2703000.0,13,SENIOR,Chico,4.0,3.1666666666666665,3.75,3.8,Older student,2
2908377.0,13,SENIOR,Chico,3.333333333333333,2.0,2.5,4.0,Older student,1
3008623.0,15,SENIOR,Chica,4.333333333333333,4.333333333333333,3.0,4.8,Older student,2
