Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales
BIOINGENIERIA,SENIOR,401142,Chica,Bien,10,10,Buena,No asistí,,Bien,No sé,Veterinaria,Buena,Regular,Sí,Sí,8,Los experimetos y debates,Nada,,5,5,5,2,2,5,5,4,5,1,4,3,5,5,3,5,4,5,1,4,5
BIOINGENIERIA,SENIOR,410452,Chica,Bien,10,10,Buena,No asistí,Muy buena,Muy bien,Sí,profesora,Buena,Regular,Sí,Sí,10,los compañeros,la hora de entrada,nada,5,5,5,1,2,5,5,3,5,3,5,5,5,5,5,4,4,5,1,5,5
BIOINGENIERIA,SENIOR,502000,Chica,Bien,10,10,Muy buena,No asistí,Buena,Bien,Sí,biotecnología- ingeniería biomédica,Buena,Muy bien,Sí,Sí,10,mirar al microscopio,ver el ADN (escupir),no,5,4,4,1,1,5,4,3,5,1,4,3,5,4,1,4,4,5,1,1,4
BIOINGENIERIA,SENIOR,503316,Chica,Regular,7,8,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ingeniería,Muy buena,Muy bien,Sí,No,7,La visita a los laboratorios,Cambio de profesores,,5,5,5,1,1,4,5,5,5,1,5,5,5,5,1,5,4,5,1,1,5
BIOINGENIERIA,SENIOR,505006,Chica,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,Neurociencia o Ingeniería Biomédica,Muy buena,Muy bien,Sí,Sí,10,Los experimentos y poder conocer mejor las carreras de ciencias,Las mascarillas,No creo que sea necesario cambiar nada,5,5,5,2,1,4,5,5,5,1,5,5,5,5,1,5,5,5,1,3,5
BIOINGENIERIA,SENIOR,505047,Chica,Muy bien,8,9,Buena,No asistí,Buena,Bien,No sé,"Biotecnología con farmacia o bioquímica u otros relacionados con medicina, matemáticas, informática y biología o ciencias.",Buena,Muy bien,Sí,Sí,7,Explicación de lo que es la bioingienería,El hecho de que fuésemos lo mismo que el curso junior,Mejor organización y un temario más amplio y adecuado a la edad.,4,4,3,1,2,3,4,3,4,3,4,4,4,4,2,3,4,4,2,2,3
BIOINGENIERIA,SENIOR,507145,Chico,Muy bien,10,10,No asistí,No asistí,Buena,Bien,Sí,Teleco o ingeniería de la energía o militar,Muy buena,Muy bien,Sí,Sí,10,La gente,No haber venido a bioingenieria desde el peincipio,,5,4,4,1,2,4,4,4,4,1,4,5,4,4,4,3,4,5,1,4,4
BIOINGENIERIA,SENIOR,510488,Chica,Muy bien,10,10,Buena,Buena,,Muy bien,Sí,Ingeniería biomédica,Muy buena,Muy bien,Sí,Sí,10,Hablar de los instrumentos médicos que han hecho ingenieros biomédicos para ayudar en la medicina.,Nada,Nada,5,5,5,2,1,5,5,4,5,5,5,5,5,5,4,5,3,4,1,4,5
BIOINGENIERIA,SENIOR,611459,Chica,Muy bien,10,10,Buena,No asistí,,Muy bien,Sí,Me gustaría estudiar psiquiatría.,Buena,Muy bien,Sí,Sí,9,Los temas que hemos hablado porque son interesantes.,No lo sé.,"No lo sé, el curso está muy bien.",5,5,5,1,1,3,5,4,4,5,5,4,3,3,1,1,4,5,1,3,5
BIOINGENIERIA,SENIOR,707996,Chica,Muy bien,8,9,Muy buena,No asistí,Buena,Muy bien,Sí,Ingeniería biomédica,Buena,Muy bien,Sí,Sí,8,Los compañeros y los monitores,No hicimos tantas actividades  prácticas como me gustaría,Incorporar más visitas por la universidad,5,5,5,1,2,5,5,3,5,1,5,4,5,5,5,5,4,3,1,1,4
BIOINGENIERIA,SENIOR,712606,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Medicina,Buena,Muy bien,Sí,Sí,10,Los experimentos y los profesores,Nada,Podríamos hacer más experimentos y hablar un poco más sobre el tema de las prótesis.,4,5,5,2,1,3,5,4,5,2,5,3,5,5,2,3,4,5,2,5,5
BIOINGENIERIA,SENIOR,804594,Chica,Bien,9,10,Muy buena,Muy buena,,Muy bien,Sí,Microbiología,Buena,Muy bien,Sí,Sí,10,Teoría muy interesante,El nivel de puntualidad de comienzo de las clases,,5,5,5,2,5,5,5,4,5,1,4,3,5,5,4,5,4,5,1,4,5
BIOINGENIERIA,SENIOR,806974,Chico,Bien,9,10,Muy buena,Muy buena,,Muy bien,Sí,No lo sé todavúa,Buena,Muy bien,Sí,Sí,10,Los experimentos,nada,Que empiece un poco mas tarde,5,5,5,1,1,4,5,4,5,1,5,5,5,5,5,5,5,5,1,2,4
BIOINGENIERIA,SENIOR,807603,Chico,Muy bien,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,"Algo sobre biología: bioingeniería, biotecnología o bioquímica",Buena,Muy bien,Sí,Sí,10,Los experimentos y las prácticas.,El tiempo de espera y el cambio de profesora. Además de que entramos muy pronto.,"Yo no cambiaría nada, salvo la hora de entrada.",5,5,5,1,1,5,5,5,5,1,5,5,5,5,4,5,3,5,1,3,5
BIOINGENIERIA,SENIOR,908167,Chica,Bien,10,10,Muy buena,No asistí,Regular,Muy bien,Sí,Ingeniería Biomédica o Biotecnología,Muy buena,Muy bien,Sí,Sí,9,Las prácticas de tinción y ver al microscopio.,La teoría,"Creo q se debería dedicar más tiempo a las prácticas o hacer muchas más, ya que la teoría dura mucho y es más rollo.",5,5,5,2,1,5,5,4,5,1,4,5,5,5,2,5,5,4,1,3,3
